TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1548252554.612611,0.782225,-0.037970,-1.660476,0.387942,1,0.580286,6.855626,-6.969278,17.671751,1,0.349595,0.160363,0.027443,0.381110,1,0.469126,45.656178,14.023246,80.581146,1,0.488146,0.488146,0.000000,1.000000,1,0.520623,4.784376,1.744362,7.583549,1,0.434136,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252564.600374,0.821020,-0.249437,-1.667245,0.413867,1,0.599547,6.981142,-6.834326,17.569108,1,0.296715,0.143232,0.029169,0.377558,1,0.242461,31.855593,14.011598,79.577582,1,0.436720,0.436720,0.000000,1.000000,1,0.470016,4.478815,1.868360,7.422332,1,0.449516,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252574.588504,0.800542,0.105335,-1.683171,0.450368,1,0.476794,5.092562,-6.792956,17.484220,1,0.289445,0.140757,0.030755,0.374100,1,0.151312,22.890583,12.656860,78.625119,1,0.396498,0.396498,0.000000,1.000000,1,0.350468,3.814847,1.868360,7.422332,1,0.437301,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252584.576589,0.769251,-0.128232,-1.690205,0.476486,1,0.509234,5.285227,-6.821329,17.412900,1,0.238563,0.122615,0.031909,0.370509,1,0.259100,30.487192,11.187873,77.767278,1,0.466494,0.466494,0.000000,1.000000,1,0.381693,3.989815,1.961854,7.274919,1,0.441561,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252594.564475,0.775926,-0.186460,-1.686600,0.488915,1,0.456440,4.473587,-6.964952,17.382518,1,0.199920,0.106940,0.032512,0.366809,1,0.261512,29.781759,10.377978,76.743997,1,0.441242,0.441242,0.000000,1.000000,1,0.159398,2.808743,1.961854,7.274919,1,0.379104,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252604.550947,0.806167,0.085700,-1.687352,0.506818,1,0.573155,6.023730,-6.900043,17.302201,1,0.377489,0.166228,0.034157,0.364371,1,0.592163,48.468010,10.799995,76.357160,1,0.466567,0.466567,0.000000,1.000000,1,0.553121,4.827181,1.936473,7.162654,1,0.341923,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252614.540793,0.808606,0.049177,-1.699053,0.537846,1,0.753052,8.612715,-7.025811,17.429713,1,0.363711,0.162376,0.035834,0.361856,1,0.613947,49.815113,11.759429,75.957386,1,0.476169,0.476169,0.000000,1.000000,1,0.291307,3.458895,1.936473,7.162654,1,0.353241,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252624.529119,0.769492,-0.090242,-1.702188,0.558510,1,0.687965,9.095371,-6.885375,17.380890,1,0.245075,0.125507,0.036970,0.358934,1,0.427551,40.142601,12.474852,75.123992,1,0.442097,0.442097,0.000000,1.000000,1,0.182491,2.913766,1.992675,7.040011,1,0.311795,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252634.513356,0.756291,0.074873,-1.698849,0.570611,1,0.716241,8.817340,-6.754409,17.346712,1,0.240157,0.123491,0.037706,0.355856,1,0.378241,37.445316,12.879882,74.202105,1,0.404133,0.404133,0.000000,1.000000,1,0.146570,2.732463,1.992675,7.040011,1,0.273220,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1548252644.502924,0.752038,-0.440387,-1.698027,0.585795,1,0.723150,9.071174,-6.687853,17.378703,1,0.253566,0.127832,0.038516,0.352942,1,0.551755,45.999504,13.365772,73.625322,1,0.493199,0.493199,0.000000,1.000000,1,0.369954,3.793341,1.939923,6.949788,1,0.313938,4,4,4,4,4,4,4,4,4,4,4,4,4,4
