TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1544691196.799386,0.777553,-0.254814,-1.471666,0.112966,1,0.434086,4.133882,-8.829081,20.518507,1,0.295661,0.162986,0.029547,0.438377,1,0.383985,34.914593,7.521160,75.081393,1,0.420599,0.420599,0.000000,1.000000,1,0.228287,4.137510,2.336952,10.224200,1,0.343578,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691206.787946,0.775473,-0.136532,-1.470907,0.125391,1,0.434076,3.761390,-9.026768,20.508919,1,0.300491,0.164962,0.031966,0.433757,1,0.936928,75.772369,8.424851,73.202919,1,0.662219,0.662219,0.000000,1.000000,1,0.845979,9.009396,2.336952,10.224200,1,0.373731,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691216.776240,0.807132,-0.572026,-1.476664,0.147107,1,0.447848,5.081597,-9.195854,20.480772,1,0.232624,0.136759,0.033656,0.428246,1,0.508853,44.736176,10.700060,77.821445,1,0.547737,0.547737,0.000000,1.000000,1,0.322993,4.962861,2.521660,10.079712,1,0.428810,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691226.764454,0.712411,-0.172774,-1.473091,0.156034,1,0.616085,10.779106,-9.253254,20.419801,1,0.424584,0.206297,0.035844,0.423940,1,0.553117,46.743404,12.149245,75.899077,0,0.468795,0.468795,0.000000,1.000000,1,0.313608,4.891925,2.521660,10.079712,1,0.400117,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691236.752221,0.740263,-0.198132,-1.464997,0.157939,1,0.488427,5.909923,-9.218772,20.342989,1,0.407069,0.201879,0.039290,0.422050,1,0.580568,48.169262,12.149245,75.899077,0,0.523199,0.523199,0.000000,1.000000,1,0.931940,9.565312,2.521660,10.079712,1,0.436216,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691246.739121,0.810122,-0.239356,-1.468038,0.174897,1,0.492312,5.238036,-9.287708,20.286982,1,0.295079,0.164761,0.041935,0.418899,1,0.583875,48.342613,12.149245,75.899077,0,0.681019,0.681019,0.000000,1.000000,1,1.000000,9.940917,2.610301,9.940917,1,0.618708,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691256.726888,0.779966,-0.202217,-1.474072,0.195422,1,0.544481,5.941069,-9.334577,20.226613,1,0.407307,0.202099,0.044289,0.415626,1,0.584277,48.363689,12.149245,75.899077,0,0.706794,0.706794,0.000000,1.000000,1,1.000000,9.940917,2.610301,9.940917,1,0.760078,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1544691266.714602,0.807956,-0.417154,-1.475782,0.210494,1,0.479577,4.270761,-9.385026,20.168142,1,0.287605,0.162849,0.046278,0.412174,1,0.584326,48.366249,12.149245,75.899077,0,0.822783,0.822783,0.000000,1.000000,1,1.000000,10.439491,2.589268,10.439491,1,0.862595,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691276.702456,0.741543,-0.121241,-1.473047,0.219405,1,0.570252,3.987334,-9.410079,20.118794,1,0.326277,0.176151,0.048130,0.408768,1,0.584332,48.366562,12.149245,75.899077,1,0.849087,0.849087,0.000000,1.000000,1,0.966874,10.179446,2.589268,10.439491,1,0.939537,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691286.690701,0.700697,-0.347842,-1.466835,0.223256,1,0.501312,4.701644,-9.484481,20.069698,1,0.372464,0.190425,0.049715,0.405341,1,0.401828,39.297192,13.809165,74.432994,1,0.739582,0.739582,0.000000,1.000000,1,0.537247,7.052200,2.617917,10.871628,1,0.932090,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691296.679314,0.714310,-0.536850,-1.458711,0.223604,1,0.497220,5.971405,-9.556639,20.020809,1,0.331163,0.177601,0.051521,0.402316,1,0.358677,36.606800,14.427128,72.220152,0,0.759626,0.759626,0.000000,1.000000,1,0.645570,7.946266,2.617917,10.871628,1,0.806691,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1544691306.666526,0.704034,0.109224,-1.451215,0.223862,1,0.482049,4.528641,-9.568509,19.955177,1,0.334143,0.178760,0.053321,0.399744,1,0.405418,38.897366,14.427128,72.220152,1,0.707994,0.707994,0.000000,1.000000,1,0.791979,9.215434,2.753056,10.912839,1,0.820868,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691316.654523,0.754057,-0.208002,-1.447969,0.231208,1,0.468682,3.949421,-9.657184,19.914123,1,0.291788,0.165418,0.055074,0.397059,1,0.522881,44.209267,15.805475,70.605461,1,0.720295,0.720295,0.000000,1.000000,1,0.497754,6.814623,2.753056,10.912839,1,0.758104,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691326.643045,0.693620,-0.263100,-1.442219,0.234662,1,0.512143,5.629030,-9.752782,19.876481,1,0.345773,0.182220,0.056438,0.394140,1,0.602214,47.743816,15.923416,70.509492,0,0.749444,0.749444,0.000000,1.000000,1,0.948841,10.577871,2.902457,10.991711,1,0.776024,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691336.631554,0.699524,-0.509285,-1.434010,0.233505,1,0.466990,4.544354,-9.798803,19.823277,1,0.347095,0.183080,0.058371,0.392143,1,0.611604,48.173538,15.923416,70.509492,0,0.751471,0.751471,0.000000,1.000000,1,0.967673,10.730212,2.902457,10.991711,1,0.779949,4,4,4,4,4,4,3,4,4,4,4,4,4,4
1544691346.617260,0.627873,-0.200001,-1.426023,0.230966,1,0.499788,5.143217,-9.822086,19.764773,1,0.364435,0.188423,0.060161,0.390082,1,0.612741,48.225780,15.923416,70.509492,0,0.768157,0.768157,0.000000,1.000000,1,0.972374,10.929942,3.001318,11.155205,1,0.816797,4,4,4,4,4,4,3,4,4,4,4,4,4,4
