Session ID;Probandennr.;Zeitstempel;;Aktion;;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:17:21.793+0100;61958;navigate;task;Begriffe;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:17:21.795+0100;2;booklet_switch;Kontaktwinkel;Begriffe;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:18:20.034+0100;58239;navigate;task;Quiz;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:18:20.037+0100;3;booklet_switch;Kontaktwinkel;Quiz;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:19:27.607+0100;67570;navigate;task;Reihenfolge;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:19:27.609+0100;2;booklet_switch;Kontaktwinkel;Reihenfolge;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:20:21.718+0100;54109;navigate;task;Hangman;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:20:21.720+0100;2;booklet_switch;Kontaktwinkel;Hangman;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:27:37.343+0100;435623;navigate;task;Lueckentext;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:27:37.345+0100;2;booklet_switch;Kontaktwinkel;Lueckentext;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:34:00.382+0100;383037;navigate;task;Theorie;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:34:00.386+0100;4;booklet_switch;Kontaktwinkel;Theorie;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:34:02.011+0100;1625;navigate;task;Lueckentext;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:34:02.013+0100;2;booklet_switch;Kontaktwinkel;Lueckentext;false
