Session ID;Probandennr.;Zeitstempel;;Aktion;;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T08:39:01.400+0100;;booklet_switch;Kontaktwinkel;Theorie;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:52:50.096+0100;4428696;booklet_switch;Kontaktwinkel;Theorie;false
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:54:00.024+0100;69928;link;Link_Instruktion_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:54:11.368+0100;11344;link;Link_Orientierung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:56:14.745+0100;123377;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:56:19.787+0100;5042;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:56:22.312+0100;2525;link;Link_Theorie_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:57:32.707+0100;70395;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:57:35.534+0100;2827;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T09:57:37.068+0100;1534;link;Link_Grundprinzip_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:01:27.568+0100;230500;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:01:30.673+0100;3105;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:01:33.189+0100;2516;link;Link_Berechnung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:02:15.438+0100;42249;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:02:17.088+0100;1650;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:02:18.752+0100;1664;link;Link_Raue_Oberflaechen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:06:06.346+0100;227594;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:06:09.828+0100;3482;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:06:10.813+0100;985;link;Link_Anwendung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:12:11.212+0100;360399;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:12:13.216+0100;2004;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:12:15.390+0100;2174;link;Link_FAQ_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:13:22.181+0100;66791;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:13:24.130+0100;1949;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:13:27.380+0100;3250;link;Link_Zusammenfassung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:14:07.294+0100;39914;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:14:09.726+0100;2432;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:14:11.204+0100;1478;link;Link_Wiederholungsfragen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:02.571+0100;51367;link;Link_Berechnung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:12.797+0100;10226;link;Link_Wiederholungsfragen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:23.857+0100;11060;link;Link_Anwendung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:30.659+0100;6802;link;Link_Raue_Oberflaechen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:37.980+0100;7321;link;Link_Wiederholungsfragen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:15:57.602+0100;19622;link;Link_Anwendung_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:11.366+0100;13764;link;Link_Wiederholungsfragen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:13.975+0100;2609;user_rating;C+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:14.786+0100;811;user_rating;I+;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:16.706+0100;1920;link;Link_Quellen_xpage;;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:19.833+0100;3127;navigate;task;Formel;
9fc9ebc1-2d3a-4b3b-88cd-7f9cd8a3f6b3;user601;2018-12-13T10:16:19.835+0100;2;booklet_switch;Kontaktwinkel;Formel;false
